zip_code,count,date,change,change_%,population,rate_per_10k
2857,607,01/27/2021,35,0.061188811188811254,8412,721.5882073228721
2903,895,01/27/2021,47,0.05542452830188682,10780,830.2411873840446
2822,369,01/27/2021,27,0.07894736842105265,6111,603.8291605301914
2806,959,01/27/2021,66,0.07390817469204936,16310,587.9828326180257
2864,2973,01/27/2021,146,0.05164485320127343,33396,890.2263744160978
2871,914,01/27/2021,57,0.06651108518086346,17171,532.292819288335
2916,619,01/27/2021,26,0.04384485666104543,8139,760.535692345497
2881,228,01/27/2021,6,0.027027027027026973,7841,290.77923734217575
2815,16,01/27/2021,0,0.0,278,575.5395683453238
2838,391,01/27/2021,13,0.03439153439153442,3400,1150.0
2915,1283,01/27/2021,66,0.05423171733771559,16897,759.3063857489494
2814,547,01/27/2021,31,0.06007751937984507,7496,729.7225186766275
2896,971,01/27/2021,76,0.08491620111731835,11537,841.6399410592009
2816,2729,01/27/2021,226,0.09029165001997597,32611,836.8341970500752
2886,2432,01/27/2021,144,0.06293706293706292,29269,830.9132529297209
2802,44,01/27/2021,2,0.04761904761904767,786,559.7964376590331
2917,1294,01/27/2021,97,0.08103592314118635,13762,940.2703095480308
2914,2448,01/27/2021,83,0.0350951374207189,21963,1114.601830351045
2830,477,01/27/2021,42,0.096551724137931,5976,798.1927710843373
2813,364,01/27/2021,18,0.052023121387283267,7831,464.8193078789427
2812,72,01/27/2021,5,0.07462686567164178,1497,480.9619238476954
2828,858,01/27/2021,43,0.052760736196318936,7704,1113.7071651090343
2841,69,01/27/2021,7,0.11290322580645151,1392,495.68965517241384
2839,126,01/27/2021,8,0.06779661016949157,1902,662.4605678233439
2837,132,01/27/2021,4,0.03125,3492,378.00687285223364
2895,3970,01/27/2021,267,0.07210369970294361,41186,963.9197785655319
2919,3615,01/27/2021,132,0.03789836347975872,28790,1255.6443209447723
2898,121,01/27/2021,4,0.03418803418803429,1696,713.4433962264152
2809,1799,01/27/2021,116,0.06892453951277488,22938,784.2880809137675
2804,152,01/27/2021,20,0.1515151515151516,2607,583.0456463367856
2840,1195,01/27/2021,96,0.0873521383075524,23335,512.1062781229912
2885,941,01/27/2021,37,0.04092920353982299,10627,885.4803801637338
2888,1568,01/27/2021,70,0.04672897196261672,19912,787.4648453194054
2893,2467,01/27/2021,138,0.0592528982395879,29630,832.6020924738441
2836,6,01/27/2021,1,0.19999999999999996,136,441.1764705882353
2863,3768,01/27/2021,95,0.025864416008712254,19385,1943.7709569254578
2905,3017,01/27/2021,101,0.03463648834019195,25223,1196.1305157990723
2892,329,01/27/2021,22,0.07166123778501632,4988,659.5829991980753
2879,1080,01/27/2021,27,0.02564102564102555,20371,530.1654312503068
2904,3849,01/27/2021,154,0.041677943166441134,29359,1311.0119554480739
2878,968,01/27/2021,73,0.08156424581005584,15780,613.4347275031686
2876,51,01/27/2021,4,0.0851063829787233,430,1186.046511627907
2827,167,01/27/2021,6,0.037267080745341685,2172,768.8766114180479
2832,237,01/27/2021,16,0.07239819004524883,4608,514.3229166666666
2911,1482,01/27/2021,65,0.04587155963302747,15574,951.5859766277129
