city_town,county,count,change,change_%,rate_per_10k,date
West Greenwich,Kent,0,0,0.0,0.0,3/31/2020
North Providence,Providence,49,33,2.0625,15.149172978822074,3/31/2020
Richmond,Washington,0,0,0.0,0.0,3/31/2020
Warwick,Kent,22,5,0.2941176470588236,2.708759142062104,3/31/2020
Hopkinton,Washington,0,0,0.0,0.0,3/31/2020
Narragansett,Washington,0,0,0.0,0.0,3/31/2020
Foster,Providence,0,0,0.0,0.0,3/31/2020
Middletown,Newport,7,1,0.16666666666666674,4.3478260869565215,3/31/2020
Cumberland,Providence,15,5,0.5,4.3480781494579395,3/31/2020
Coventry,Kent,9,3,0.5,2.580793163765664,3/31/2020
Little Compton,Newport,0,0,0.0,0.0,3/31/2020
Smithfield,Providence,7,1,0.16666666666666674,3.239091203553746,3/31/2020
East Greenwich,Kent,0,0,0.0,0.0,3/31/2020
Barrington,Bristol,12,4,0.5,7.3991860895301516,3/31/2020
Johnston,Providence,9,1,0.125,3.086525601015124,3/31/2020
Pawtucket,Providence,52,20,0.625,7.245367145046677,3/31/2020
North Kingstown,Washington,8,0,0.0,3.0560012224004893,3/31/2020
Lincoln,Providence,8,8,0.0,3.698566805362922,3/31/2020
South Kingstown,Washington,9,1,0.125,2.9304506381870277,3/31/2020
Charlestown,Washington,0,0,0.0,0.0,3/31/2020
Portsmouth,Newport,0,0,0.0,0.0,3/31/2020
Newport,Newport,8,1,0.1428571428571428,3.2329763588603755,3/31/2020
Woonsocket,Providence,5,5,0.0,1.2045870675532426,3/31/2020
Jamestown,Newport,0,0,0.0,0.0,3/31/2020
Scituate,Providence,0,0,0.0,0.0,3/31/2020
Glocester,Providence,0,0,0.0,0.0,3/31/2020
Bristol,Bristol,6,1,0.19999999999999996,2.688412940227619,3/31/2020
Central Falls,Providence,6,1,0.19999999999999996,3.093580819798917,3/31/2020
North Smithfield,Providence,0,0,0.0,0.0,3/31/2020
Warren,Bristol,0,0,0.0,0.0,4/1/2020
Newport,Newport,8,0,0.0,3.2329763588603755,4/1/2020
Coventry,Kent,13,4,0.4444444444444444,3.727812347661515,4/1/2020
Richmond,Washington,0,0,0.0,0.0,4/1/2020
South Kingstown,Washington,10,1,0.11111111111111116,3.256056264652253,4/1/2020
Scituate,Providence,0,0,0.0,0.0,4/1/2020
Cumberland,Providence,19,4,0.2666666666666666,5.507565655980057,4/1/2020
Smithfield,Providence,12,5,0.7142857142857142,5.552727777520707,4/1/2020
North Kingstown,Washington,10,2,0.25,3.820001528000611,4/1/2020
Exeter,Washington,0,0,0.0,0.0,4/1/2020
Foster,Providence,0,0,0.0,0.0,4/1/2020
New Shoreham,Washington,0,0,0.0,0.0,4/1/2020
Glocester,Providence,0,0,0.0,0.0,4/1/2020
Tiverton,Newport,6,1,0.19999999999999996,3.780718336483932,4/1/2020
North Providence,Providence,60,11,0.22448979591836737,18.550007729169888,4/1/2020
Narragansett,Washington,0,0,0.0,0.0,4/1/2020
East Greenwich,Kent,0,0,0.0,0.0,4/1/2020
Barrington,Bristol,12,0,0.0,7.3991860895301516,4/1/2020
Pawtucket,Providence,86,34,0.6538461538461537,11.982722586038737,4/1/2020
Lincoln,Providence,11,3,0.375,5.085529357374018,4/1/2020
Charlestown,Washington,0,0,0.0,0.0,4/1/2020
North Smithfield,Providence,0,0,0.0,0.0,4/1/2020
Woonsocket,Providence,8,3,0.6000000000000001,1.9273393080851884,4/1/2020
Portsmouth,Newport,6,6,0.0,3.435835767050335,4/1/2020
Bristol,Bristol,7,1,0.16666666666666674,3.1364817635988884,4/1/2020
Jamestown,Newport,0,0,0.0,0.0,4/1/2020
Central Falls,Providence,8,2,0.33333333333333326,4.124774426398556,4/1/2020
East Providence,Providence,20,2,0.11111111111111116,4.217185028993147,4/1/2020
Westerly,Washington,8,0,0.0,3.535755325731459,4/1/2020
Little Compton,Newport,0,0,0.0,0.0,4/1/2020
West Warwick,Kent,11,3,0.375,3.8315510815423734,4/1/2020
Hopkinton,Washington,0,0,0.0,0.0,4/1/2020
Warwick,Kent,29,7,0.3181818181818181,3.570637050900047,4/1/2020
Johnston,Providence,10,1,0.11111111111111116,3.4294728900168048,4/1/2020
Burrillville,Providence,10,0,0.0,6.11134877467457,4/1/2020
West Greenwich,Kent,0,0,0.0,0.0,4/1/2020
Middletown,Newport,9,2,0.2857142857142858,5.590062111801242,4/1/2020
Providence,Providence,96,13,0.15662650602409633,5.3479212741422435,4/1/2020
Cranston,Providence,47,8,0.20512820512820507,5.803973869768705,4/1/2020
Providence,Providence,504,159,0.4608695652173913,28.07658668924678,4/10/2020
Richmond,Washington,0,0,0.0,0.0,4/10/2020
Cranston,Providence,136,24,0.2142857142857142,16.794477580607317,4/10/2020
North Providence,Providence,127,29,0.29591836734693877,39.26418302674293,4/10/2020
Exeter,Washington,8,3,0.6000000000000001,11.83256914657595,4/10/2020
Pawtucket,Providence,186,30,0.1923076923076923,25.916120941897727,4/10/2020
North Kingstown,Washington,47,5,0.11904761904761907,17.954007181602872,4/10/2020
East Providence,Providence,58,9,0.18367346938775508,12.229836584080127,4/10/2020
North Smithfield,Providence,7,1,0.16666666666666674,5.690594260629217,4/10/2020
Scituate,Providence,8,1,0.1428571428571428,7.598062494064013,4/10/2020
Cumberland,Providence,52,12,0.30000000000000004,15.073337584787526,4/10/2020
Portsmouth,Newport,14,2,0.16666666666666674,8.016950123117448,4/10/2020
East Greenwich,Kent,8,0,0.0,6.109668550481136,4/10/2020
Newport,Newport,18,3,0.19999999999999996,7.274196807435845,4/10/2020
Johnston,Providence,40,11,0.3793103448275863,13.717891560067219,4/10/2020
Jamestown,Newport,6,0,0.0,10.899182561307903,4/10/2020
Charlestown,Washington,5,5,0.0,6.441638752898738,4/10/2020
Woonsocket,Providence,42,15,0.5555555555555556,10.11853136744724,4/10/2020
Barrington,Bristol,18,1,0.05882352941176472,11.098779134295228,4/10/2020
Lincoln,Providence,20,4,0.25,9.246417013407305,4/10/2020
Westerly,Washington,19,2,0.11764705882352944,8.397418898612216,4/10/2020
West Warwick,Kent,37,3,0.08823529411764697,12.887944547006166,4/10/2020
Little Compton,Newport,6,6,0.0,17.040613462084636,4/10/2020
Hopkinton,Washington,0,0,0.0,0.0,4/10/2020
Bristol,Bristol,14,0,0.0,6.272963527197777,4/10/2020
Foster,Providence,7,7,0.0,14.92855619535082,4/10/2020
Warwick,Kent,75,8,0.11940298507462677,9.234406166120811,4/10/2020
Middletown,Newport,12,1,0.09090909090909083,7.453416149068323,4/10/2020
Burrillville,Providence,24,2,0.09090909090909083,14.66723705921897,4/10/2020
West Greenwich,Kent,0,0,0.0,0.0,4/10/2020
Coventry,Kent,48,6,0.1428571428571428,13.764230206750208,4/10/2020
Warren,Bristol,7,1,0.16666666666666674,6.671749904689287,4/10/2020
Narragansett,Washington,10,0,0.0,6.409845522722902,4/10/2020
Glocester,Providence,0,0,0.0,0.0,4/10/2020
South Kingstown,Washington,24,1,0.04347826086956519,7.814535035165408,4/10/2020
